Carbon dioxide(ppm),Temperature(°F),Relative humidity(%),Atmospheric pressure(hPa),Date,Time
902,74.3,45.0,1006.6,01/12/2024,16:43:15
889,74.3,48.0,1006.7,01/12/2024,16:44:14
892,74.5,46.0,1006.5,01/12/2024,16:45:14
910,74.6,46.0,1006.6,01/12/2024,16:46:14
1026,74.7,47.0,1006.4,01/12/2024,16:47:14
1005,74.8,46.0,1006.5,01/12/2024,16:48:14
687,74.8,50.0,1006.4,01/12/2024,16:49:14
611,74.5,52.0,1006.5,01/12/2024,16:50:14
622,74.2,52.0,1006.5,01/12/2024,16:51:14
583,73.8,53.0,1006.5,01/12/2024,16:52:14
664,73.7,51.0,1006.6,01/12/2024,16:53:14
721,73.6,50.0,1006.5,01/12/2024,16:54:14
722,73.7,49.0,1006.5,01/12/2024,16:55:14
761,73.7,49.0,1006.4,01/12/2024,16:56:14
777,73.7,49.0,1006.3,01/12/2024,16:57:14
792,73.8,49.0,1006.3,01/12/2024,16:58:14
801,73.8,49.0,1006.2,01/12/2024,16:59:14
806,73.8,49.0,1006.1,01/12/2024,17:00:14
801,73.8,48.0,1006.1,01/12/2024,17:01:14
853,73.8,48.0,1006.1,01/12/2024,17:02:14
850,73.9,48.0,1006.0,01/12/2024,17:03:14
853,73.9,48.0,1005.9,01/12/2024,17:04:14
858,74.0,48.0,1005.8,01/12/2024,17:05:14
848,73.9,48.0,1005.7,01/12/2024,17:06:14
858,74.0,48.0,1005.6,01/12/2024,17:07:14
861,74.0,48.0,1005.5,01/12/2024,17:08:14
858,74.0,48.0,1005.5,01/12/2024,17:09:14
888,74.0,48.0,1005.3,01/12/2024,17:10:14
857,74.0,47.0,1005.4,01/12/2024,17:11:14
855,73.9,47.0,1005.4,01/12/2024,17:12:14
860,73.9,47.0,1005.4,01/12/2024,17:13:14
867,73.9,48.0,1005.3,01/12/2024,17:14:14
856,73.9,48.0,1005.2,01/12/2024,17:15:14
902,73.9,47.0,1005.2,01/12/2024,17:16:14
887,73.9,47.0,1005.3,01/12/2024,17:17:14
896,73.9,47.0,1005.2,01/12/2024,17:18:14
907,73.9,47.0,1005.2,01/12/2024,17:19:14
932,73.9,48.0,1005.2,01/12/2024,17:20:14
913,73.9,48.0,1005.1,01/12/2024,17:21:14
906,73.9,48.0,1005.2,01/12/2024,17:22:14
912,73.9,48.0,1005.1,01/12/2024,17:23:14
894,73.9,48.0,1005.1,01/12/2024,17:24:14
916,73.9,48.0,1004.9,01/12/2024,17:25:14
926,73.9,48.0,1005.0,01/12/2024,17:26:14
888,73.8,48.0,1004.8,01/12/2024,17:27:14
887,73.9,48.0,1004.7,01/12/2024,17:28:14
879,73.9,47.0,1004.7,01/12/2024,17:29:14
878,73.9,47.0,1004.8,01/12/2024,17:30:14
919,73.9,48.0,1004.6,01/12/2024,17:31:14
922,73.9,48.0,1004.6,01/12/2024,17:32:14
930,73.9,48.0,1004.5,01/12/2024,17:33:14
922,73.9,47.0,1004.5,01/12/2024,17:34:14
921,73.9,47.0,1004.5,01/12/2024,17:35:14
931,73.9,47.0,1004.5,01/12/2024,17:36:14
937,73.8,47.0,1004.6,01/12/2024,17:37:14
969,73.9,48.0,1004.6,01/12/2024,17:38:14
975,73.9,48.0,1004.6,01/12/2024,17:39:14
972,73.9,48.0,1004.5,01/12/2024,17:40:14
992,73.9,48.0,1004.4,01/12/2024,17:41:14
986,73.9,48.0,1004.4,01/12/2024,17:42:14
990,73.8,48.0,1004.5,01/12/2024,17:43:14
1014,73.9,48.0,1004.5,01/12/2024,17:44:14
1016,73.9,48.0,1004.3,01/12/2024,17:45:14
1003,73.9,48.0,1004.5,01/12/2024,17:46:14
1007,73.9,48.0,1004.3,01/12/2024,17:47:14
1005,73.9,48.0,1004.4,01/12/2024,17:48:14
997,73.9,48.0,1004.5,01/12/2024,17:49:14
899,73.9,48.0,1004.3,01/12/2024,17:50:14
833,73.8,49.0,1004.3,01/12/2024,17:51:14
663,73.8,51.0,1004.0,01/12/2024,17:52:14
584,73.6,52.0,1003.9,01/12/2024,17:53:14
594,73.3,53.0,1003.9,01/12/2024,17:54:14
588,73.1,52.0,1003.6,01/12/2024,17:55:14
531,72.9,54.0,1003.8,01/12/2024,17:56:14
512,72.8,54.0,1003.6,01/12/2024,17:57:14
486,72.6,56.0,1003.7,01/12/2024,17:58:14
478,72.3,56.0,1003.7,01/12/2024,17:59:14
498,72.1,56.0,1003.6,01/12/2024,18:00:14
513,72.1,55.0,1003.5,01/12/2024,18:01:14
543,72.2,55.0,1003.3,01/12/2024,18:02:14
579,72.2,54.0,1003.5,01/12/2024,18:03:14
613,72.4,54.0,1003.3,01/12/2024,18:04:14
653,72.5,54.0,1003.4,01/12/2024,18:05:14
664,72.6,54.0,1003.4,01/12/2024,18:06:14
699,72.7,54.0,1003.2,01/12/2024,18:07:13
719,72.9,54.0,1003.3,01/12/2024,18:08:11
744,72.9,53.0,1003.3,01/12/2024,18:09:11
755,72.9,53.0,1003.3,01/12/2024,18:10:11
751,72.9,53.0,1003.3,01/12/2024,18:11:11
785,73.0,53.0,1003.2,01/12/2024,18:12:11
779,73.0,53.0,1003.1,01/12/2024,18:13:11
834,73.0,53.0,1003.1,01/12/2024,18:14:11
793,73.0,53.0,1003.1,01/12/2024,18:15:11
796,73.1,53.0,1003.2,01/12/2024,18:16:11
818,73.1,52.0,1003.0,01/12/2024,18:17:11
821,73.2,52.0,1003.2,01/12/2024,18:18:11
824,73.2,52.0,1003.3,01/12/2024,18:19:11
825,73.2,52.0,1003.3,01/12/2024,18:20:11
825,73.2,52.0,1003.2,01/12/2024,18:21:11
849,73.3,52.0,1003.4,01/12/2024,18:22:11
841,73.3,52.0,1003.1,01/12/2024,18:23:11
821,73.3,52.0,1003.2,01/12/2024,18:24:11
841,73.4,52.0,1003.4,01/12/2024,18:25:11
857,73.4,52.0,1003.5,01/12/2024,18:26:11
840,73.3,52.0,1003.7,01/12/2024,18:27:11
875,73.3,52.0,1003.7,01/12/2024,18:28:11
860,73.4,52.0,1003.6,01/12/2024,18:29:11
841,73.4,52.0,1003.4,01/12/2024,18:30:11
861,73.4,52.0,1003.4,01/12/2024,18:31:11
850,73.4,52.0,1003.3,01/12/2024,18:32:11
842,73.5,52.0,1003.2,01/12/2024,18:33:11
834,73.4,52.0,1003.2,01/12/2024,18:34:11
857,73.4,52.0,1003.2,01/12/2024,18:35:11
844,73.4,52.0,1003.1,01/12/2024,18:36:11
853,73.4,52.0,1003.2,01/12/2024,18:37:11
851,73.4,52.0,1003.1,01/12/2024,18:38:11
849,73.4,52.0,1003.1,01/12/2024,18:39:11
839,73.3,52.0,1003.0,01/12/2024,18:40:11
815,73.4,52.0,1002.9,01/12/2024,18:41:11
796,73.4,52.0,1002.8,01/12/2024,18:42:11
809,73.4,52.0,1002.8,01/12/2024,18:43:11
773,73.4,52.0,1002.8,01/12/2024,18:44:11
759,73.4,52.0,1002.9,01/12/2024,18:45:11
779,73.3,52.0,1002.9,01/12/2024,18:46:11
753,73.3,52.0,1002.8,01/12/2024,18:47:11
768,73.3,52.0,1002.8,01/12/2024,18:48:11
757,73.3,52.0,1002.7,01/12/2024,18:49:11
756,73.3,52.0,1002.9,01/12/2024,18:50:11
777,73.3,52.0,1002.8,01/12/2024,18:51:11
799,73.3,52.0,1002.8,01/12/2024,18:52:11
793,73.4,52.0,1002.7,01/12/2024,18:53:11
816,73.3,52.0,1002.6,01/12/2024,18:54:11
812,73.3,52.0,1002.4,01/12/2024,18:55:11
820,73.4,52.0,1002.3,01/12/2024,18:56:11
814,73.4,52.0,1002.5,01/12/2024,18:57:11
812,73.5,52.0,1002.5,01/12/2024,18:58:11
808,73.4,52.0,1002.3,01/12/2024,18:59:11
810,73.4,52.0,1002.3,01/12/2024,19:00:11
829,73.4,52.0,1002.4,01/12/2024,19:01:11
839,73.4,52.0,1002.3,01/12/2024,19:02:11
825,73.5,52.0,1002.2,01/12/2024,19:03:11
804,73.4,52.0,1002.2,01/12/2024,19:04:11
788,73.5,52.0,1002.1,01/12/2024,19:05:11
805,73.5,52.0,1002.2,01/12/2024,19:06:11
800,73.7,52.0,1002.3,01/12/2024,19:07:11
851,73.7,52.0,1002.4,01/12/2024,19:08:11
841,73.7,52.0,1002.3,01/12/2024,19:09:11
846,73.7,52.0,1002.3,01/12/2024,19:10:11
875,73.7,52.0,1002.0,01/12/2024,19:11:11
873,73.7,52.0,1002.1,01/12/2024,19:12:11
848,73.6,52.0,1002.0,01/12/2024,19:13:11
853,73.6,52.0,1002.1,01/12/2024,19:14:11
845,73.6,52.0,1002.0,01/12/2024,19:15:11
864,73.6,52.0,1001.9,01/12/2024,19:16:11
846,73.6,52.0,1002.1,01/12/2024,19:17:11
826,73.6,52.0,1002.1,01/12/2024,19:18:11
804,73.7,53.0,1001.9,01/12/2024,19:19:11
804,73.6,53.0,1002.0,01/12/2024,19:20:11
858,73.7,53.0,1002.1,01/12/2024,19:21:11
845,73.7,52.0,1001.9,01/12/2024,19:22:11
803,73.6,52.0,1001.9,01/12/2024,19:23:11
807,73.6,52.0,1001.8,01/12/2024,19:24:11
785,73.6,52.0,1001.8,01/12/2024,19:25:11
792,73.6,52.0,1001.6,01/12/2024,19:26:11
748,73.5,52.0,1001.6,01/12/2024,19:27:11
754,73.5,52.0,1001.7,01/12/2024,19:28:11
731,73.5,52.0,1001.6,01/12/2024,19:29:11
729,73.4,52.0,1001.6,01/12/2024,19:30:11
723,73.4,52.0,1001.4,01/12/2024,19:31:11
714,73.4,52.0,1001.5,01/12/2024,19:32:11
690,73.4,52.0,1001.4,01/12/2024,19:33:11
695,73.4,52.0,1001.4,01/12/2024,19:34:11
706,73.3,52.0,1001.4,01/12/2024,19:35:11
693,73.3,52.0,1001.5,01/12/2024,19:36:11
692,73.3,52.0,1001.4,01/12/2024,19:37:11
691,73.3,52.0,1001.5,01/12/2024,19:38:11
673,73.3,52.0,1001.2,01/12/2024,19:39:11
667,73.3,52.0,1001.4,01/12/2024,19:40:11
675,73.2,52.0,1001.4,01/12/2024,19:41:11
653,73.3,52.0,1001.4,01/12/2024,19:42:11
646,73.2,52.0,1001.3,01/12/2024,19:43:11
674,73.2,52.0,1001.4,01/12/2024,19:44:11
692,73.3,54.0,1001.5,01/12/2024,19:45:11
738,73.5,53.0,1001.4,01/12/2024,19:46:11
739,73.6,52.0,1001.4,01/12/2024,19:47:11
732,73.6,52.0,1001.4,01/12/2024,19:48:11
733,73.5,52.0,1001.4,01/12/2024,19:49:11
721,73.5,52.0,1001.4,01/12/2024,19:50:11
708,73.5,52.0,1001.4,01/12/2024,19:51:11
680,73.4,52.0,1001.6,01/12/2024,19:52:11
667,73.4,52.0,1001.8,01/12/2024,19:53:11
671,73.4,52.0,1001.7,01/12/2024,19:54:11
669,73.3,52.0,1001.7,01/12/2024,19:55:11
665,73.3,52.0,1001.9,01/12/2024,19:56:11
650,73.3,52.0,1001.8,01/12/2024,19:57:11
647,73.3,52.0,1001.8,01/12/2024,19:58:11
642,73.3,52.0,1001.8,01/12/2024,19:59:11
631,73.2,52.0,1001.8,01/12/2024,20:00:11
632,73.2,52.0,1001.6,01/12/2024,20:01:11
635,73.2,52.0,1001.7,01/12/2024,20:02:11
634,73.2,52.0,1001.8,01/12/2024,20:03:11
654,73.1,52.0,1001.7,01/12/2024,20:04:11
662,73.1,52.0,1001.6,01/12/2024,20:05:11
633,73.1,52.0,1001.6,01/12/2024,20:06:11
628,73.1,52.0,1001.6,01/12/2024,20:07:11
635,73.0,52.0,1001.4,01/12/2024,20:08:11
647,73.1,52.0,1001.4,01/12/2024,20:09:11
648,73.1,52.0,1001.3,01/12/2024,20:10:11
649,73.1,52.0,1001.3,01/12/2024,20:11:11
648,73.1,52.0,1001.2,01/12/2024,20:12:11
651,73.0,52.0,1001.2,01/12/2024,20:13:11
638,73.0,52.0,1001.0,01/12/2024,20:14:11
617,73.0,52.0,1001.0,01/12/2024,20:15:11
634,73.0,52.0,1001.1,01/12/2024,20:16:11
634,73.0,52.0,1001.2,01/12/2024,20:17:11
623,73.0,52.0,1001.4,01/12/2024,20:18:11
635,73.0,52.0,1001.4,01/12/2024,20:19:11
625,73.0,52.0,1001.3,01/12/2024,20:20:11
612,73.1,52.0,1001.2,01/12/2024,20:21:11
635,73.0,52.0,1001.1,01/12/2024,20:22:11
615,73.1,52.0,1001.1,01/12/2024,20:23:10
676,73.1,52.0,1001.0,01/12/2024,20:24:10
659,73.0,52.0,1001.1,01/12/2024,20:25:10
679,73.0,52.0,1001.0,01/12/2024,20:26:10
668,73.1,52.0,1001.1,01/12/2024,20:27:10
687,73.0,52.0,1001.1,01/12/2024,20:28:10
689,73.0,52.0,1001.1,01/12/2024,20:29:10
684,73.1,52.0,1000.9,01/12/2024,20:30:10
671,73.1,52.0,1000.9,01/12/2024,20:31:10
652,73.0,52.0,1000.8,01/12/2024,20:32:10
667,73.0,52.0,1001.0,01/12/2024,20:33:10
679,73.0,52.0,1001.0,01/12/2024,20:34:10
659,73.0,52.0,1001.0,01/12/2024,20:35:10
679,73.0,52.0,1000.9,01/12/2024,20:36:10
664,73.0,52.0,1000.9,01/12/2024,20:37:10
679,73.0,52.0,1000.8,01/12/2024,20:38:11
651,73.0,52.0,1000.9,01/12/2024,20:39:11
682,73.0,52.0,1000.8,01/12/2024,20:40:11
689,73.0,52.0,1000.7,01/12/2024,20:41:10
667,73.0,52.0,1000.8,01/12/2024,20:42:10
672,73.0,52.0,1000.8,01/12/2024,20:43:10
670,73.0,52.0,1000.7,01/12/2024,20:44:10
673,73.0,52.0,1000.6,01/12/2024,20:45:10
660,73.0,52.0,1000.8,01/12/2024,20:46:10
678,73.0,52.0,1000.7,01/12/2024,20:47:10
686,73.0,52.0,1000.9,01/12/2024,20:48:10
675,73.0,52.0,1000.8,01/12/2024,20:49:10
658,73.0,52.0,1000.8,01/12/2024,20:50:10
656,73.0,52.0,1000.9,01/12/2024,20:51:10
667,73.0,52.0,1000.7,01/12/2024,20:52:10
650,73.0,52.0,1000.6,01/12/2024,20:53:10
662,73.0,52.0,1000.5,01/12/2024,20:54:10
675,73.0,52.0,1000.5,01/12/2024,20:55:10
661,73.0,52.0,1000.5,01/12/2024,20:56:10
646,73.0,52.0,1000.4,01/12/2024,20:57:09
657,73.0,52.0,1000.5,01/12/2024,20:58:09
664,73.0,52.0,1000.5,01/12/2024,20:59:09
662,73.0,52.0,1000.6,01/12/2024,21:00:09
651,72.9,52.0,1000.4,01/12/2024,21:01:09
642,73.0,52.0,1000.2,01/12/2024,21:02:09
654,73.0,53.0,1000.2,01/12/2024,21:03:09
642,72.9,53.0,1000.3,01/12/2024,21:04:09
663,72.9,53.0,1000.2,01/12/2024,21:05:09
646,72.9,53.0,1000.1,01/12/2024,21:06:09
664,72.9,53.0,1000.1,01/12/2024,21:07:09
637,72.9,53.0,1000.0,01/12/2024,21:08:09
647,72.9,53.0,1000.2,01/12/2024,21:09:09
659,72.9,53.0,1000.0,01/12/2024,21:10:09
653,72.9,53.0,1000.0,01/12/2024,21:11:09
635,72.9,53.0,1000.0,01/12/2024,21:12:09
665,72.9,53.0,1000.0,01/12/2024,21:13:09
653,72.9,53.0,1000.0,01/12/2024,21:14:09
661,72.9,53.0,1000.0,01/12/2024,21:15:09
649,72.9,53.0,1000.1,01/12/2024,21:16:09
643,72.9,53.0,1000.2,01/12/2024,21:17:09
644,72.9,53.0,1000.1,01/12/2024,21:18:09
656,72.9,53.0,1000.1,01/12/2024,21:19:09
674,73.0,53.0,1000.1,01/12/2024,21:20:09
678,73.0,53.0,1000.0,01/12/2024,21:21:09
710,73.0,53.0,1000.2,01/12/2024,21:22:09
717,73.0,53.0,1000.0,01/12/2024,21:23:10
755,73.0,53.0,1000.3,01/12/2024,21:24:10
775,73.1,53.0,1000.1,01/12/2024,21:25:10
799,73.1,53.0,1000.2,01/12/2024,21:26:10
777,73.1,53.0,999.9,01/12/2024,21:27:10
773,73.1,53.0,999.9,01/12/2024,21:28:10
741,73.1,53.0,999.9,01/12/2024,21:29:10
755,73.0,53.0,999.8,01/12/2024,21:30:10
746,73.0,53.0,999.8,01/12/2024,21:31:10
732,73.0,53.0,999.9,01/12/2024,21:32:10
737,73.0,53.0,999.9,01/12/2024,21:33:10
694,73.0,53.0,999.9,01/12/2024,21:34:10
740,73.0,53.0,1000.0,01/12/2024,21:35:10
729,73.0,53.0,999.9,01/12/2024,21:36:10
719,73.0,54.0,999.7,01/12/2024,21:37:10
738,73.0,53.0,999.8,01/12/2024,21:38:10
728,73.0,53.0,999.8,01/12/2024,21:39:10
726,73.0,54.0,999.7,01/12/2024,21:40:10
736,73.0,54.0,999.9,01/12/2024,21:41:10
724,73.0,54.0,999.8,01/12/2024,21:42:10
699,73.0,54.0,999.9,01/12/2024,21:43:09
710,73.0,54.0,1000.0,01/12/2024,21:44:09
710,73.0,55.0,1000.0,01/12/2024,21:45:09
724,72.9,54.0,1000.0,01/12/2024,21:46:09
711,73.0,55.0,999.8,01/12/2024,21:47:09
713,73.0,55.0,999.8,01/12/2024,21:48:09
682,73.0,55.0,999.8,01/12/2024,21:49:09
692,73.0,55.0,999.5,01/12/2024,21:50:09
687,73.0,55.0,999.7,01/12/2024,21:51:09
687,72.9,55.0,999.6,01/12/2024,21:52:09
707,73.0,55.0,999.5,01/12/2024,21:53:09
705,72.9,55.0,999.6,01/12/2024,21:54:09
700,72.9,55.0,999.8,01/12/2024,21:55:09
678,73.0,55.0,999.6,01/12/2024,21:56:09
686,72.9,55.0,999.5,01/12/2024,21:57:09
672,73.0,55.0,999.4,01/12/2024,21:58:09
681,73.0,56.0,999.2,01/12/2024,21:59:09
675,72.9,56.0,999.3,01/12/2024,22:00:09
677,73.0,56.0,999.3,01/12/2024,22:01:09
676,73.0,56.0,999.3,01/12/2024,22:02:09
681,73.0,56.0,999.4,01/12/2024,22:03:09
703,73.0,56.0,999.3,01/12/2024,22:04:09
676,73.0,56.0,999.3,01/12/2024,22:05:09
705,73.0,56.0,999.2,01/12/2024,22:06:09
690,73.1,56.0,999.6,01/12/2024,22:07:09
689,73.2,55.0,999.4,01/12/2024,22:08:09
653,73.2,56.0,999.8,01/12/2024,22:09:09
620,73.1,56.0,999.8,01/12/2024,22:10:09
582,73.1,57.0,999.9,01/12/2024,22:11:09
573,73.0,57.0,999.7,01/12/2024,22:12:59
584,72.9,57.0,999.8,01/12/2024,22:13:59
593,72.8,57.0,999.6,01/12/2024,22:14:59
621,72.8,57.0,999.6,01/12/2024,22:15:59
629,72.7,57.0,999.7,01/12/2024,22:16:59
662,72.7,57.0,999.4,01/12/2024,22:17:59
699,72.8,57.0,999.4,01/12/2024,22:18:59
706,72.8,58.0,999.4,01/12/2024,22:19:59
673,72.8,58.0,999.3,01/12/2024,22:20:59
651,72.8,59.0,999.3,01/12/2024,22:21:59
642,72.7,61.0,999.4,01/12/2024,22:22:59
654,72.7,60.0,999.3,01/12/2024,22:23:59
633,72.7,61.0,999.4,01/12/2024,22:24:59
633,72.7,61.0,999.6,01/12/2024,22:25:59
621,72.7,64.0,999.6,01/12/2024,22:26:59
645,72.7,62.0,999.5,01/12/2024,22:27:59
648,72.6,62.0,999.4,01/12/2024,22:28:59
691,72.7,62.0,999.5,01/12/2024,22:29:59
686,72.7,62.0,999.4,01/12/2024,22:30:59
719,72.6,62.0,999.6,01/12/2024,22:31:59
745,72.7,62.0,999.6,01/12/2024,22:32:59
726,72.7,62.0,999.5,01/12/2024,22:33:59
717,72.7,64.0,999.5,01/12/2024,22:34:59
694,72.7,63.0,999.3,01/12/2024,22:35:59
699,72.7,63.0,999.1,01/12/2024,22:36:59
687,72.6,63.0,999.3,01/12/2024,22:37:59
715,72.7,62.0,999.4,01/12/2024,22:38:59
753,72.7,62.0,999.4,01/12/2024,22:39:59
713,72.8,62.0,999.4,01/12/2024,22:40:59
771,72.8,62.0,999.4,01/12/2024,22:41:59
777,72.8,62.0,999.4,01/12/2024,22:42:59
740,72.8,63.0,999.4,01/12/2024,22:43:59
747,72.9,62.0,999.4,01/12/2024,22:44:59
723,72.9,63.0,999.3,01/12/2024,22:45:59
697,73.0,65.0,999.4,01/12/2024,22:46:59
715,73.0,66.0,999.5,01/12/2024,22:47:59
702,73.0,66.0,999.5,01/12/2024,22:48:59
697,73.0,66.0,999.5,01/12/2024,22:49:59
714,73.0,66.0,999.4,01/12/2024,22:50:59
711,73.0,66.0,999.3,01/12/2024,22:51:59
762,73.0,66.0,999.3,01/12/2024,22:52:59
727,73.0,66.0,999.2,01/12/2024,22:53:59
759,73.1,66.0,999.3,01/12/2024,22:54:59
741,73.1,66.0,999.3,01/12/2024,22:55:59
765,73.1,66.0,999.4,01/12/2024,22:56:59
733,73.2,66.0,999.4,01/12/2024,22:57:59
704,73.2,66.0,999.3,01/12/2024,22:58:59
737,73.2,66.0,999.3,01/12/2024,22:59:59
681,73.3,68.0,999.3,01/12/2024,23:00:59
678,73.3,67.0,999.3,01/12/2024,23:01:59
690,73.4,68.0,999.4,01/12/2024,23:02:59
663,73.4,69.0,999.3,01/12/2024,23:03:59
633,73.4,69.0,999.3,01/12/2024,23:04:59
647,73.5,69.0,999.1,01/12/2024,23:05:59
655,73.5,68.0,999.2,01/12/2024,23:06:59
649,73.6,68.0,999.1,01/12/2024,23:07:59
647,73.6,68.0,999.0,01/12/2024,23:08:59
624,73.6,68.0,999.0,01/12/2024,23:09:59
640,73.6,69.0,999.0,01/12/2024,23:10:59
650,73.7,68.0,999.0,01/12/2024,23:11:59
652,73.6,68.0,999.0,01/12/2024,23:12:59
646,73.7,68.0,998.9,01/12/2024,23:13:59
631,73.6,68.0,999.0,01/12/2024,23:14:59
638,73.6,68.0,998.9,01/12/2024,23:15:59
644,73.6,68.0,999.1,01/12/2024,23:16:59
603,73.6,69.0,998.8,01/12/2024,23:17:59
593,73.6,69.0,998.9,01/12/2024,23:18:59
609,73.6,68.0,998.8,01/12/2024,23:19:59
620,73.6,68.0,998.9,01/12/2024,23:20:59
630,73.6,68.0,998.8,01/12/2024,23:21:59
624,73.6,68.0,998.8,01/12/2024,23:22:59
623,73.7,69.0,998.6,01/12/2024,23:23:59
632,73.7,69.0,998.9,01/12/2024,23:24:59
617,73.7,68.0,998.7,01/12/2024,23:25:59
615,73.8,68.0,998.8,01/12/2024,23:26:59
624,73.7,69.0,998.7,01/12/2024,23:27:59
605,73.8,70.0,998.5,01/12/2024,23:28:59
583,73.8,70.0,998.7,01/12/2024,23:29:59
594,73.8,70.0,998.8,01/12/2024,23:30:59
590,73.8,70.0,998.8,01/12/2024,23:31:59
588,73.8,69.0,998.7,01/12/2024,23:32:59
580,73.8,70.0,998.6,01/12/2024,23:33:59
581,73.8,70.0,998.8,01/12/2024,23:34:59
562,73.8,70.0,998.6,01/12/2024,23:35:59
583,73.8,70.0,998.8,01/12/2024,23:36:59
559,73.8,70.0,998.6,01/12/2024,23:37:59
572,73.8,71.0,998.6,01/12/2024,23:38:59
574,73.8,70.0,998.7,01/12/2024,23:39:59
559,73.9,71.0,998.5,01/12/2024,23:40:59
576,73.9,70.0,998.5,01/12/2024,23:41:59
571,74.0,70.0,998.7,01/12/2024,23:42:59
573,74.0,70.0,998.6,01/12/2024,23:43:59
557,74.0,70.0,998.4,01/12/2024,23:44:59
561,74.0,71.0,998.5,01/12/2024,23:45:59
528,74.0,71.0,998.5,01/12/2024,23:46:59
537,74.0,71.0,998.5,01/12/2024,23:47:59
572,74.0,70.0,998.5,01/12/2024,23:48:59
575,74.0,70.0,998.6,01/12/2024,23:49:59
595,74.0,70.0,998.5,01/12/2024,23:50:59
579,74.1,70.0,998.6,01/12/2024,23:51:59
555,74.1,71.0,998.5,01/12/2024,23:52:59
555,74.1,70.0,998.4,01/12/2024,23:53:59
557,74.0,71.0,998.6,01/12/2024,23:54:59
585,74.0,70.0,998.6,01/12/2024,23:55:59
575,74.1,70.0,998.5,01/12/2024,23:56:59
575,74.1,70.0,998.6,01/12/2024,23:57:59
591,74.2,70.0,998.5,01/12/2024,23:58:59
575,74.1,70.0,998.5,01/12/2024,23:59:59
553,74.2,70.0,998.3,01/13/2024,00:00:59
559,74.2,71.0,998.4,01/13/2024,00:01:59
537,74.1,71.0,998.4,01/13/2024,00:02:59
565,74.1,70.0,998.3,01/13/2024,00:03:59
551,74.2,70.0,998.3,01/13/2024,00:04:59
560,74.2,70.0,998.4,01/13/2024,00:05:59
554,74.2,70.0,998.6,01/13/2024,00:06:58
526,74.2,71.0,998.4,01/13/2024,00:07:58
555,74.2,70.0,998.5,01/13/2024,00:08:58
537,74.1,70.0,998.3,01/13/2024,00:09:58
559,74.1,71.0,998.2,01/13/2024,00:10:58
548,74.1,70.0,998.2,01/13/2024,00:11:58
578,74.1,71.0,998.2,01/13/2024,00:12:58
540,74.1,71.0,998.1,01/13/2024,00:13:58
533,74.0,71.0,997.9,01/13/2024,00:14:58
580,73.9,70.0,997.8,01/13/2024,00:15:58
567,74.0,70.0,997.9,01/13/2024,00:16:58
568,74.0,70.0,997.7,01/13/2024,00:17:58
570,74.0,69.0,997.7,01/13/2024,00:18:58
583,73.9,69.0,997.7,01/13/2024,00:19:58
572,74.0,69.0,997.7,01/13/2024,00:20:58
601,73.9,68.0,997.6,01/13/2024,00:21:58
611,73.9,68.0,997.6,01/13/2024,00:22:58
618,73.9,68.0,997.8,01/13/2024,00:23:58
611,73.9,68.0,997.7,01/13/2024,00:24:58
634,73.9,67.0,997.7,01/13/2024,00:25:58
658,73.9,67.0,997.8,01/13/2024,00:26:58
654,73.9,67.0,997.9,01/13/2024,00:27:58
650,73.9,66.0,998.0,01/13/2024,00:28:58
648,73.9,66.0,998.2,01/13/2024,00:29:58
